Tool_Wear,Depth_of_Cut_ap,Cutting_Speed_vc,Feed_Rate_f,Surface_Roughness_Ra,Resultant Force
0.0,0.8,390,0.07,0.388,209.3121413
0.0,0.8,390,0.07,0.344,209.3121413
0.0,0.8,390,0.1,0.699,299.3653514
0.0,0.8,390,0.1,0.879,299.3653514
0.0,0.8,390,0.1,0.882,299.3653514
0.0,0.8,390,0.1,0.858,299.3653514
0.0,0.8,390,0.1,0.536,299.3653514
0.0,0.8,390,0.1,0.449,299.3653514
0.0,0.8,390,0.13,0.827,360.4201715
0.0,0.8,390,0.13,1.195,360.4201715
0.0,0.8,390,0.13,1.171,360.4201715
0.0,0.8,390,0.13,0.846,360.4201715
0.0,0.8,390,0.13,1.157,360.4201715
0.0,0.8,390,0.13,1.198,360.4201715
0.0,0.8,310,0.13,0.855,373.4629031
0.0,0.8,310,0.13,1.19,373.4629031
0.0,0.8,310,0.13,1.158,373.4629031
0.0,0.8,310,0.13,0.862,373.4629031
0.0,0.8,310,0.13,1.213,373.4629031
0.0,0.8,310,0.13,1.188,373.4629031
0.0,0.8,310,0.07,0.391,217.3298298
0.0,0.8,310,0.07,0.375,217.3298298
0.0,0.8,310,0.07,0.404,217.3298298
0.0,0.8,310,0.07,0.36,217.3298298
0.0,0.8,310,0.07,0.386,217.3298298
0.0,0.8,310,0.07,0.392,217.3298298
0.0,0.8,310,0.1,0.615,324.4497226
0.0,0.8,310,0.1,0.586,324.4497226
0.0,0.8,310,0.1,0.599,324.4497226
0.0,0.8,310,0.1,0.588,324.4497226
0.0,0.8,310,0.1,0.654,324.4497226
0.0,0.8,310,0.1,0.598,324.4497226
0.0,0.25,350,0.1,1.032,89.62153759
0.0,0.25,350,0.1,1.039,89.62153759
0.0,0.25,350,0.1,1.062,89.62153759
0.0,0.25,350,0.1,1.036,89.62153759
0.0,0.25,350,0.1,1.059,89.62153759
0.0,0.25,350,0.1,1.059,89.62153759
0.0,0.25,350,0.13,1.812,102.9727173
0.0,0.25,350,0.13,1.634,102.9727173
0.0,0.25,350,0.13,1.798,102.9727173
